orbit,bx,phi,eta,pt,charge
3557651,3487,1.12356,-0.358875,3.5,-1
3557765,3505,1.01447,0.511125,3,-1
3563727,3518,2.86888,0.424125,21.5,1
3563727,3520,-0.545416,0,25,-1
3564351,3518,1.47262,0.3915,5,1
3564351,3519,1.47262,0.511125,7,1
3564351,3520,-2.09439,0,5.5,-1
3565521,3449,0.370882,0.80475,3.5,-1
3565615,3507,1.53807,-0.76125,130.5,1
3565615,3509,-1.7017,-0.3915,139.5,-1
3567184,3457,2.7598,0.184875,9.5,-1
3567184,3458,2.77071,0.184875,3,1
3567184,3459,-1.53807,0,3,-1
3574155,3457,-1.5708,0.424125,8,1
3575774,3461,1.33081,0.358875,3.5,-1
3575774,3463,-0.425424,0.511125,3,1
3578680,3466,1.39626,-0.511125,3.5,-1
3582610,3540,2.05076,0.36975,11,1
3582610,3540,2.1053,0.685125,5,1
3587571,3531,2.01804,0.358875,3.5,-1
3587571,3533,0.0109083,-0.45675,3,1
3587580,3475,1.4399,0.76125,6.5,1
3590596,3534,2.13803,0,5.5,1
3590596,3535,-1.22173,0,5.5,-1
3592094,3531,1.95259,-0.511125,3,1
3596588,3515,0.589049,0.511125,3,-1
3596588,3516,-1.5817,0.424125,7.5,1
3597147,3534,1.16719,0.424125,3.5,-1
3597804,3469,-0.763582,-0.23925,23,-1
3602249,3511,-0.239983,0.424125,3.5,1
3606841,3494,2.11621,-0.424125,3.5,1
3606841,3495,2.1053,-0.511125,3.5,1
3606841,3495,-2.11621,0,3.5,-1
3606841,3496,-2.12712,0,3.5,-1
3610681,3523,2.0944,-0.80475,3.5,1
3617958,3525,1.19991,0,2.5,1
3617958,3527,1.19991,0,4.5,1
3617958,3528,-2.44346,0,4.5,-1
3622604,3486,-2.39983,-0.685125,4.5,1
3623120,3553,-1.66897,0.80475,3.5,1
3623120,3553,-2.31256,0.80475,4.5,-1
3623120,3554,-2.31256,0.80475,4.5,-1
3623120,3554,-1.66897,0.80475,3.5,1
3623120,3555,-2.31256,0.80475,4.5,-1
3623120,3555,-1.66897,0.80475,3.5,1
3623926,3476,0.109083,0.685125,3.5,-1
3625154,3477,1.95259,-0.511125,4.5,1
3625765,3486,1.12356,-0.685125,3.5,-1
3625765,3487,-2.18166,-0.358875,3.5,-1
3626145,3546,3.11978,0.184875,12.5,1
3626145,3547,-0.239983,0,14.5,-1
3629166,3496,-1.33081,-0.424125,6.5,-1
3629166,3496,-1.28718,-0.424125,3.5,-1
3629366,3501,-0.370883,-0.511125,3,1
3630916,3535,1.63625,-0.80475,41.5,1
3631998,3506,1.34172,0,3.5,-1
3634780,3479,-1.51625,-0.685125,4,-1
3636904,3461,-0.567232,0.80475,4.5,1
3637132,3515,-1.46171,0.28275,139.5,-1
3641439,3549,-0.916298,-0.80475,3.5,1
3644843,3521,-0.719949,0.23925,3.5,-1
